WORDCOUNTS,WEIGHT
the,383
and,371
of,362
in,272
a,133
australia,95
to,84
j,83
p,78
b,76
archaeology,76
australian,67
pleistocene,54
from,52
r,51
for,48
oceania,47
at,43
m,42
new,42
years,42
more,41
d,41
university,39
have,37
queensland,36
archaeological,36
s,35
pp,33
holocene,32
lourandos,32
as,32
that,30
been,30
changes,30
et,29
occupation,28
cultural,28
population,28
also,28
are,28
tasmania,28
evidence,28
on,27
prehistoric,27
sites,27
south,26
al,26
has,25
coastal,25
eds,25
recent,25
g,24
prehistory,24
c,24
h,23
arid,23
example,23
settlement,23
i,22
human,22
site,22
these,22
social,22
press,22
is,21
with,21
southeastern,21
jones,20
late,19
this,19
trends,19
art,19
be,19
was,18
sydney,18
last,17
islands,17
by,17
department,17
region,17
use,17
central,16
t,16
research,16
northern,16
aboriginal,16
dynamics,15
an,15
cosgrove,15
rock,15
patterns,15
brown,15
anthropology,15
unpublished,14
dates,14
l,14
canberra,14
allen,14
thesis,14
were,14
north,14
some,13
southwestern,13
subsistence,13
island,13
or,13
time,13
including,13
which,13
between,13
cave,12
evolution,12
n,12
most,12
during,12
model,12
range,12
general,12
victoria,12
national,12
o,11
appear,11
complex,11
one,11
continent,11
western,11
first,11
demography,11
relatively,11
david,11
may,11
bowdler,11
greater,11
academic,11
change,11
about,11
smith,11
present,11
guinea,11
e,10
studies,10
other,10
price,10
levels,10
their,10
dated,10
wales,10
london,10
regional,10
period,10
cape,10
complexity,10
semiarid,10
rocksheiter,10
ph,10
they,9
mainland,9
hiscock,9
york,9
white,9
however,9
brisbane,9
ed,9
demographic,9
while,9
offshore,8
throughout,8
bay,8
rather,8
environments,8
parts,8
creek,8
emergence,8
argued,8
glacial,8
data,8
coast,8
preliminary,8
meehan,8
areas,8
veth,8
can,8
occupied,8
middens,8
intensification,8
both,8
early,8
american,7
long,7
rockshelters,7
than,7
hughes,7
domestication,7
sandy,7
k,7
barker,7
zone,7
burial,7
its,7
chappell,7
around,7
populations,7
study,7
inhabited,7
southeast,7
lampert,7
radiocarbon,7
plant,7
antiquity,7
past,7
particular,7
sea,7
now,6
environmental,6
large,6
ii,6
humans,6
morwood,6
prior,6
west,6
resources,6
old,6
bone,6
networks,6
similar,6
suggested,6
further,6
sedentism,6
climatic,6
society,6
southern,6
temperate,6
perspectives,6
two,6
many,6
farming,6
pattern,6
above,6
upon,6
desert,6
increase,6
dating,6
roberts,6
high,6
indicate,6
see,6
colonization,6
number,6
sociology,6
level,6
through,6
cambridge,6
maximum,6
beaton,6
ca,6
regionalized,5
horton,5
stone,5
ways,5
mandu,5
harsh,5
australians,5
monograph,5
hillman,5
nature,5
peopling,5
murray,5
marine,5
within,5
bird,5
earlier,5
frankel,5
ross,5
ireland,5
even,5
mesolithic,5
process,5
shell,5
river,5
numbers,5
dodson,5
w,5
upper,5
appears,5
regions,5
seeds,5
chronological,5
therefore,5
melbourne,5
located,5
harris,5
tropical,5
indicates,5
pacific,5
sociocultural,5
unwin,5
swamp,5
head,5
foods,5
variation,5
v,5
deposits,5
deserts,5
sequence,5
processes,5
lakes,5
flood,5
systems,5
interpretations,5
megafauna,5
sequences,5
hope,5
earliest,5
series,5
orlando,5
extensive,5
physical,5
humid,5
suggests,5
webb,5
until,5
models,5
area,5
foraging,5
thousand,5
charlotte,5
lake,5
it,4
closure,4
largely,4
being,4
broadly,4
there,4
cheshire,4
those,4
eastern,4
dynamic,4
usage,4
development,4
