WORDCOUNTS,WEIGHT
the,1487
of,1093
in,796
and,729
to,290
a,257
that,211
identity,148
as,139
europe,124
s,121
with,119
der,119
is,114
from,111
on,111
age,104
pp,102
c,102
by,100
b,98
for,97
this,96
at,94
were,92
are,92
objects,91
central,87
new,87
iron,87
j,80
their,79
la,78
m,75
bronze,75
they,73
late,73
h,72
or,68
early,68
was,67
these,65
graves,64
but,63
p,62
eds,62
peoples,62
have,61
individual,59
not,59
been,58
und,57
different,52
style,52
groups,51
ed,51
material,51
wells,51
prehistory,50
tene,50
between,50
other,48
social,48
archaeological,48
roman,47
such,47
culture,46
evidence,44
an,43
von,43
we,43
d,43
later,42
burial,42
during,41
celtic,41
l,40
die,40
archaeology,39
about,39
individuals,39
most,38
r,38
de,36
communities,36
it,35
celts,35
some,35
burials,35
more,35
period,35
e,34
has,33
people,33
time,33
g,32
cultural,32
london,32
century,31
patterns,31
be,31
among,31
all,30
those,30
pottery,30
them,30
i,29
important,29
european,29
information,29
group,28
also,28
use,28
ornaments,28
can,28
identities,28
o,27
stuttgart,27
f,27
two,27
grave,27
one,26
fibulae,26
zur,26
community,26
decoration,26
which,26
common,25
elements,25
caesar,25
das,25
research,25
world,25
ethnic,25
et,24
regions,24
frey,24
w,24
elite,23
hallstatt,23
prehistoric,23
im,23
approach,23
change,23
each,23
both,23
gold,23
final,22
large,22
than,22
university,22
cambridge,22
goods,22
middle,22
much,22
rhine,21
signs,21
swords,21
had,21
used,21
status,21
many,21
routledge,21
greek,21
vessels,21
recent,21
southern,20
men,20
practice,20
specific,20
interaction,20
women,19
oxford,19
similar,19
into,19
part,19
represented,19
form,19
des,19
first,18
t,18
aus,18
ornament,18
society,18
practices,18
same,18
germans,18
expression,18
v,18
north,18
york,17
du,17
there,17
throughout,17
megaw,17
personal,17
he,17
second,17
oppida,17
northern,17
particular,17
through,17
sources,16
west,16
its,16
object,16
see,16
including,16
who,16
categories,16
themselves,16
settlements,15
complex,15
studies,15
berlin,15
ritual,15
development,15
characteristic,15
because,15
apparent,15
keltische,15
developed,15
where,15
discussion,15
construction,15
cemetery,15
character,15
france,15
kinds,14
ways,14
contexts,14
rich,14
styles,14
case,14
fig,14
