WORDCOUNTS,WEIGHT
the,1166
of,876
and,830
moche,621
in,497
de,368
a,346
la,248
to,228
j,218
del,178
pp,169
is,155
s,151
at,150
eds,136
uceda,126
el,123
l,122
peru,122
that,119
as,108
for,107
c,105
archaeology,99
huaca,97
valley,96
castillo,95
e,90
en,90
on,90
y,82
d,78
from,77
luna,75
universidad,74
state,73
lima,73
huacas,72
an,72
was,71
new,69
chapdelaine,68
donnan,68
r,68
political,64
los,64
by,64
university,63
this,62
perú,62
ed,61
with,61
be,61
have,60
mujica,59
g,57
southern,57
bourget,56
art,56
m,55
b,55
k,54
are,54
its,52
press,51
were,51
been,51
or,50
i,49
between,48
h,47
phase,47
ancient,47
north,47
it,46
springer,46
mochica,45
cultura,45
northern,44
católica,44
andean,44
not,44
pontificia,44
editorial,43
fondo,43
santa,42
et,42
society,42
more,42
has,41
coast,41
res,41
archaeol,40
organization,40
dc,40
al,40
these,40
ceramic,40
elite,40
washington,40
sobre,39
ad,36
trujillo,36
power,36
cultural,34
makowski,34
their,33
actas,32
coloquio,32
valleys,32
nacional,32
w,31
culture,30
archaeological,30
urban,30
early,30
may,29
v,29
quilter,29
brujo,28
complex,28
site,28
but,28
jequetepeque,27
two,27
american,26
during,26
libertad,26
shimada,26
no,25
austin,25
tombs,25
texas,25
one,24
first,24
valle,24
p,24
sites,24
peruvian,24
major,24
final,23
institut,23
could,23
morales,23
lockard,23
such,23
late,23
several,23
andines,23
iv,22
iconography,22
hacia,22
ceramics,22
research,22
period,22
middle,22
center,21
milenio,21
bernier,21
alva,21
most,21
data,21
various,21
production,20
jones,20
segundo,20
larco,20
well,20
t,20
rucabado,20
model,20
over,20
anthropology,20
franco,20
style,20
polities,20
bawden,20
states,20
they,19
into,19
nature,19
other,19
some,19
collapse,19
study,19
centers,19
millaire,19
san,19
sequence,19
national,19
should,19
ritual,18
dates,18
journal,18
arqueológico,18
dumbarton,18
oaks,18
f,18
chronology,18
also,18
pillsbury,18
gallinazo,18
sociales,18
iii,18
although,18
études,18
moro,17
du,17
ciencias,17
facultad,17
