WORDCOUNTS,WEIGHT
the,918
of,857
and,755
art,434
in,419
a,266
to,203
paleolithic,191
p,188
de,155
j,153
that,136
l,135
d,133
m,110
this,101
pp,97
as,95
g,93
et,91
portable,90
on,87
c,87
la,83
new,82
r,81
for,80
have,77
images,76
cave,75
s,73
rock,72
paris,72
were,69
press,69
eds,67
archaeology,66
cambridge,66
e,63
university,58
prehistoric,57
from,56
was,54
parietal,54
is,53
human,52
archaeological,52
h,50
an,50
representations,49
journal,49
research,49
des,49
les,47
al,47
with,47
paintings,47
are,46
by,45
social,44
these,44
century,43
breuil,43
springer,41
pleistocene,40
studies,39
archaeol,38
res,38
clottes,37
oxford,36
errico,36
or,35
ed,35
we,35
at,34
modern,34
white,34
anthropology,34
f,33
including,33
ornaments,33
history,32
first,32
york,32
o,31
into,31
b,31
archaeologists,30
evolution,29
london,29
visual,29
objects,29
bahn,28
i,28
their,28
not,28
most,27
origins,27
t,27
number,27
current,26
w,26
n,26
specialists,26
du,25
since,25
culture,25
has,24
years,24
capitan,23
arts,23
conkey,22
upper,22
personal,22
world,22
grotte,22
language,22
been,22
renfrew,21
such,21
analysis,21
be,21
cultural,20
figurative,20
gonzález,20
technology,20
more,20
nonfigurative,20
chauvet,20
dans,20
symbolic,20
approaches,19
préhistorique,19
scholars,19
which,19
préhistoire,19
antiquity,19
europe,18
main,18
à,18
dichotomy,18
vanhaeren,18
during,18
anthropologie,18
theory,18
cognitive,18
mobiliáry,17
age,17
engravings,17
representation,17
material,17
categories,17
between,17
recent,17
artwork,16
other,16
developments,16
en,16
study,16
emergence,16
le,16
many,16
pieces,16
k,16
last,15
context,15
body,15
â,15
symbolism,15
used,15
about,15
interpretation,15
time,15
imagery,15
africa,15
science,15
making,15
it,14
groups,14
had,14
they,14
prehistory,14
piette,14
beyond,14
engraved,14
its,14
dating,14
systems,14
paléolithique,14
terms,14
classification,14
altamira,13
second,13
mind,13
system,13
some,13
cantabria,13
y,13
image,13
globalization,13
also,13
forms,13
v,13
style,13
understanding,13
delluc,13
perspectives,13
anthropological,13
cultures,13
information,13
early,13
moro,12
kinds,12
abrams,12
henshilwood,12
marshack,12
conceptualization,12
important,12
santander,12
taçon,12
abadía,12
bednarik,12
can,12
model,12
considered,12
der,12
mortillet,12
role,12
among,12
meaning,11
stone,11
western,11
concepts,11
fritz,11
than,11
cartailhac,11
result,11
he,11
two,11
origin,11
use,11
aesthetics,11
different,11
france,11
technological,11
way,10
nowell,10
behavior,10
nature,10
soffer,10
there,10
those,10
signs,10
luquet,10
van,10
certain,10
lithic,10
suggested,10
artistic,10
however,10
concept,10
statuettes,10
painting,10
morley,10
crafts,10
period,10
division,10
lorblanchet,10
mcdonald,10
sciences,10
davidson,10
beginning,10
according,10
particular,10
morales,10
through,10
